2024-12-09 02:35:03,259 - WindowOperation - Window Operation Initiated
2024-12-09 02:35:03,275 - InstaFollowers - Insta followers initiated
2024-12-09 02:35:25,319 - Main - 50 followers will be removed
2024-12-09 02:35:26,998 - InstaFollowers - Followers selected
2024-12-13 00:14:13,918 - InstaFollowers - Insta followers initiated
2024-12-13 00:14:42,456 - Main - 20 followers will be removed
2024-12-13 00:14:44,130 - InstaFollowers - Followers selected
2024-12-13 00:15:35,262 - InstaFollowers - Loop 1, follower 1 removed!
2024-12-13 00:15:38,497 - InstaFollowers - Loop 1, follower 2 removed!
2024-12-13 00:15:41,737 - InstaFollowers - Loop 1, follower 3 removed!
2024-12-13 00:15:44,969 - InstaFollowers - Loop 1, follower 4 removed!
2024-12-13 00:15:48,204 - InstaFollowers - Loop 1, follower 5 removed!
2024-12-13 00:15:55,677 - InstaFollowers - Loop 2, follower 1 removed!
2024-12-13 00:15:58,917 - InstaFollowers - Loop 2, follower 2 removed!
2024-12-13 00:16:02,147 - InstaFollowers - Loop 2, follower 3 removed!
2024-12-13 00:16:05,390 - InstaFollowers - Loop 2, follower 4 removed!
2024-12-13 00:16:08,627 - InstaFollowers - Loop 2, follower 5 removed!
2024-12-13 00:16:16,089 - InstaFollowers - Loop 3, follower 1 removed!
2024-12-13 00:16:19,322 - InstaFollowers - Loop 3, follower 2 removed!
2024-12-13 00:16:22,550 - InstaFollowers - Loop 3, follower 3 removed!
2024-12-13 00:16:25,782 - InstaFollowers - Loop 3, follower 4 removed!
2024-12-13 00:16:29,021 - InstaFollowers - Loop 3, follower 5 removed!
2024-12-13 00:16:36,482 - InstaFollowers - Loop 4, follower 1 removed!
2024-12-13 00:16:39,714 - InstaFollowers - Loop 4, follower 2 removed!
2024-12-13 00:16:42,944 - InstaFollowers - Loop 4, follower 3 removed!
2024-12-13 00:16:46,178 - InstaFollowers - Loop 4, follower 4 removed!
2024-12-13 00:16:49,416 - InstaFollowers - Loop 4, follower 5 removed!
2024-12-13 00:42:02,154 - InstaFollowers - cleanup
